radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.1175,1.77202,7.55507,7.39984,6.77794,3.62337,0.516602,0.782642,1.10951,0.816967
0.118,1.77044,7.53004,7.35213,6.78381,3.55552,0.495869,0.757704,1.07435,0.788477
0.1185,1.76886,7.50427,7.30388,6.78898,3.48846,0.475871,0.733426,1.04011,0.76084
0.119,1.76728,7.47813,7.25547,6.79378,3.42244,0.456621,0.709851,1.00687,0.734091
0.1195,1.7657,7.4515,7.20676,6.79808,3.35736,0.438082,0.686939,0.974554,0.708183
0.12,1.76411,7.42427,7.15767,6.80178,3.29317,0.420229,0.66467,0.943147,0.683089
0.1205,1.76252,7.39659,7.10837,6.80499,3.22997,0.403061,0.643059,0.912662,0.658817
0.121,1.76093,7.36853,7.0589,6.80777,3.16775,0.386537,0.622079,0.883059,0.63533
0.1215,1.75934,7.33994,7.00911,6.81001,3.10638,0.370622,0.601694,0.854287,0.61258
0.122,1.75773,7.3107,6.9589,6.81158,3.04586,0.355304,0.581899,0.826327,0.590551
0.1225,1.75612,7.28118,6.90865,6.81274,2.98639,0.340596,0.562734,0.799235,0.569283
0.123,1.75452,7.25145,6.85842,6.81368,2.92789,0.32645,0.544157,0.772942,0.548709
0.1235,1.75292,7.22113,6.80783,6.81397,2.87024,0.312844,0.52616,0.747416,0.528808
0.124,1.7513,7.1901,6.75678,6.81345,2.8134,0.299758,0.50873,0.722628,0.509551
0.1245,1.74969,7.15878,6.70567,6.81264,2.75745,0.287171,0.491876,0.698567,0.490919
0.125,1.74807,7.12728,6.65462,6.81145,2.70254,0.2751,0.475656,0.675279,0.472954
0.1255,1.74645,7.09514,6.6032,6.80959,2.64838,0.263484,0.460022,0.652653,0.455561
0.126,1.74482,7.06255,6.55159,6.8072,2.59507,0.252321,0.44501,0.630703,0.438747
0.1265,1.7432,7.02991,6.50016,6.8046,2.54278,0.241619,0.430708,0.609468,0.422536
0.127,1.74158,6.9971,6.44879,6.80175,2.49137,0.231334,0.417154,0.588868,0.406867
0.1275,1.73993,6.96336,6.39681,6.79788,2.44063,0.221447,0.404329,0.56887,0.391711
0.128,1.7383,6.92948,6.34496,6.7937,2.39084,0.211967,0.39242,0.549514,0.377094
0.1285,1.73666,6.89544,6.29318,6.78926,2.34191,0.202866,0.381496,0.530758,0.362981
0.129,1.73502,6.86087,6.24113,6.78416,2.29372,0.194122,0.371601,0.51256,0.349338
0.1295,1.73338,6.82601,6.18906,6.77864,2.24637,0.185732,0.362953,0.494932,0.336171
0.13,1.73173,6.79105,6.13715,6.77288,2.19989,0.177689,0.355832,0.477868,0.323473
0.1305,1.73008,6.75541,6.08486,6.76629,2.15411,0.169964,0.350358,0.461316,0.311204
0.131,1.72842,6.7198,6.03286,6.75953,2.10924,0.162567,0.346645,0.445315,0.299387
0.1315,1.72677,6.68378,5.98072,6.75223,2.06508,0.155464,0.345218,0.429793,0.287971
0.132,1.72512,6.64775,5.92883,6.74479,2.02179,0.14866,0.346351,0.414781,0.276971
0.1325,1.72346,6.61119,5.87673,6.73661,1.97921,0.142137,0.350351,0.400237,0.26636
0.133,1.72179,6.57421,5.82449,6.72785,1.93732,0.135876,0.357323,0.386133,0.256114
0.1335,1.72012,6.53732,5.77256,6.719,1.89626,0.129879,0.367663,0.372489,0.246243
0.134,1.71845,6.50017,5.72068,6.70966,1.85598,0.124141,0.382308,0.359297,0.23674
0.1345,1.71678,6.46272,5.66878,6.69986,1.8164,0.118638,0.401953,0.346507,0.227571
0.135,1.7151,6.42507,5.61693,6.68972,1.77748,0.113356,0.42684,0.334099,0.218718
0.1355,1.71343,6.38716,5.56512,6.67908,1.73932,0.108305,0.456939,0.322099,0.210199
0.136,1.71175,6.34903,5.51337,6.66801,1.70185,0.103465,0.492736,0.310476,0.201988
0.1365,1.71006,6.31086,5.46186,6.6567,1.66511,0.0988339,0.535295,0.299226,0.194083
0.137,1.70838,6.27264,5.41057,6.64515,1.62912,0.0944038,0.585577,0.288339,0.186475
0.1375,1.70668,6.2339,5.35904,6.63287,1.59366,0.0901511,0.643755,0.27776,0.179127
