radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0915,1.84732,7.93182,9.09117,5.74021,8.38997,3.46506,3.58566,4.83727,4.18226
0.092,1.84589,7.94529,9.08051,5.77342,8.28348,3.35817,3.49918,4.72076,4.07014
0.0925,1.84447,7.9574,9.06816,5.80583,8.1767,3.25367,3.41398,4.60595,3.96002
0.093,1.84304,7.96892,9.05507,5.83797,8.07039,3.15183,3.33037,4.49328,3.85229
0.0935,1.84161,7.97941,9.04084,5.86954,7.96419,3.05247,3.24815,4.38251,3.7467
0.094,1.84017,7.98897,9.02546,5.90061,7.85824,2.95559,3.1674,4.2737,3.64331
0.0945,1.83873,7.99778,9.00914,5.93129,7.75273,2.86122,3.08816,4.16693,3.54219
0.095,1.83728,8.00579,8.99195,5.96154,7.64764,2.7693,3.0104,4.06215,3.44326
0.0955,1.83583,8.01284,8.97366,5.99122,7.54285,2.67973,2.93405,3.95927,3.34644
0.096,1.83438,8.01897,8.9543,6.02036,7.43843,2.5925,2.85913,3.85831,3.25173
0.0965,1.83292,8.02429,8.93398,6.04905,7.33452,2.50761,2.78567,3.75933,3.15915
0.097,1.83147,8.02894,8.91291,6.07739,7.23125,2.42504,2.71369,3.66234,3.06873
0.0975,1.83001,8.03265,8.89081,6.10515,7.12841,2.34469,2.6431,3.56722,2.98034
0.098,1.82854,8.03521,8.86745,6.13215,7.02584,2.26647,2.57382,3.47386,2.89388
0.0985,1.82707,8.03706,8.84331,6.15877,6.92397,2.19045,2.50598,3.38246,2.80947
0.099,1.8256,8.03844,8.81865,6.18515,6.823,2.11665,2.43964,3.29306,2.72718
0.0995,1.82413,8.03894,8.79302,6.21097,6.72258,2.0449,2.37464,3.20547,2.64682
0.1,1.82266,8.03822,8.76611,6.23597,6.62248,1.97511,2.31089,3.11957,2.56826
0.1005,1.82117,8.03704,8.73875,6.26069,6.52345,1.90748,2.24865,3.0357,2.4918
0.101,1.81968,8.03499,8.71046,6.28489,6.42498,1.84175,2.18769,2.95355,2.41714
0.1015,1.8182,8.03192,8.6811,6.3084,6.32703,1.77788,2.12796,2.87307,2.34424
0.102,1.8167,8.02806,8.65093,6.33136,6.22985,1.71592,2.06956,2.79438,2.27319
0.1025,1.81521,8.02359,8.62014,6.35398,6.13344,1.65577,2.01243,2.71739,2.20389
0.103,1.81371,8.01845,8.58869,6.37615,6.03794,1.59748,1.95663,2.64219,2.13642
0.1035,1.81221,8.01241,8.55635,6.39766,5.94317,1.54097,1.90209,2.5687,2.0707
0.104,1.8107,8.00538,8.52305,6.41846,5.8491,1.48618,1.84876,2.49684,2.00666
0.1045,1.80919,7.99765,8.48908,6.43876,5.75591,1.43308,1.79666,2.42664,1.9443
0.105,1.80768,7.98939,8.45459,6.45873,5.66365,1.38164,1.74579,2.35809,1.8836
0.1055,1.80617,7.98038,8.4194,6.47818,5.57224,1.3318,1.6961,2.29112,1.8245
0.106,1.80466,7.97059,8.38349,6.49705,5.48164,1.28353,1.64757,2.22572,1.76698
0.1065,1.80313,7.95999,8.34679,6.51534,5.39177,1.23673,1.60012,2.16178,1.71094
0.107,1.80161,7.94862,8.30941,6.53304,5.30284,1.19145,1.55383,2.0994,1.65644
0.1075,1.80009,7.93662,8.27149,6.55026,5.21492,1.14769,1.50871,2.0386,1.60351
0.108,1.79856,7.924,8.23298,6.56706,5.12779,1.10526,1.46462,1.97919,1.55195
0.1085,1.79703,7.91049,8.19371,6.58309,5.04166,1.06429,1.42167,1.9213,1.50189
0.109,1.79549,7.89651,8.15407,6.59876,4.95657,1.0247,1.37982,1.86491,1.45328
0.1095,1.79395,7.88164,8.11357,6.61381,4.87204,0.986277,1.33886,1.80971,1.40586
0.11,1.79241,7.86612,8.07255,6.62832,4.78856,0.949174,1.29898,1.75596,1.35984
0.1105,1.79086,7.84993,8.03104,6.64223,4.70618,0.913395,1.26019,1.7037,1.31523
0.111,1.78931,7.83305,7.98892,6.6556,4.6246,0.878771,1.22234,1.65269,1.27183
0.1115,1.78777,7.81555,7.94629,6.66849,4.54392,0.845287,1.18543,1.60295,1.22965
0.112,1.78621,7.7974,7.90317,6.6808,4.46428,0.812983,1.14952,1.55455,1.18875
