radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.096,1.83435,8.02085,8.95643,6.02232,7.43497,2.58724,2.85847,3.84862,3.24312
0.0965,1.8329,8.02603,8.93601,6.05096,7.33095,2.5024,2.78491,3.74972,3.15062
0.097,1.83144,8.0303,8.91453,6.07904,7.22733,2.41984,2.71275,3.65271,3.06023
0.0975,1.82998,8.03411,8.8925,6.10692,7.12456,2.33963,2.64214,3.55778,2.97202
0.098,1.82851,8.03681,8.86925,6.1341,7.02214,2.26157,2.57287,3.46466,2.88578
0.0985,1.82704,8.03888,8.8453,6.16091,6.92046,2.18571,2.50506,3.37349,2.80162
0.099,1.82556,8.03987,8.82018,6.18702,6.81917,2.11192,2.43857,3.28409,2.71935
0.0995,1.82409,8.04005,8.79421,6.21266,6.71851,2.04022,2.37344,3.19654,2.63904
0.1,1.82261,8.03977,8.76774,6.23806,6.61878,1.97063,2.30978,3.11095,2.56076
0.1005,1.82113,8.03836,8.74012,6.26267,6.51957,1.90305,2.24745,3.02715,2.48438
0.101,1.81964,8.03606,8.71154,6.28668,6.42099,1.83743,2.18645,2.94514,2.40987
0.1015,1.81816,8.03326,8.68243,6.31042,6.32328,1.77374,2.12679,2.86493,2.33722
0.102,1.81666,8.02959,8.65243,6.3336,6.22617,1.71187,2.06836,2.78638,2.2663
0.1025,1.81516,8.02491,8.62139,6.35609,6.12966,1.65181,2.01119,2.70951,2.19714
0.103,1.81366,8.01964,8.58981,6.37817,6.0342,1.59367,1.95541,2.63452,2.12987
0.1035,1.81216,8.01372,8.5576,6.3998,5.93966,1.53735,1.90094,2.56129,2.06439
0.104,1.81066,8.00668,8.52422,6.42063,5.84553,1.4826,1.84756,2.48951,2.00043
0.1045,1.80914,7.99898,8.49022,6.44106,5.75225,1.42954,1.7954,2.41938,1.93814
0.105,1.80764,7.99049,8.45548,6.46088,5.65987,1.37817,1.74448,2.35093,1.87755
0.1055,1.80612,7.98131,8.42009,6.48022,5.56838,1.32841,1.69476,2.28408,1.81857
0.106,1.8046,7.97151,8.38415,6.49912,5.47786,1.28025,1.64625,2.21885,1.76122
0.1065,1.80308,7.96099,8.34754,6.51745,5.38825,1.23365,1.5989,2.1552,1.70543
0.107,1.80155,7.94972,8.31019,6.53527,5.29936,1.18846,1.55261,2.09295,1.65107
0.1075,1.80003,7.93761,8.27214,6.55246,5.21137,1.14474,1.50745,2.03224,1.59823
0.108,1.79851,7.92477,8.2334,6.56911,5.12422,1.10242,1.46337,1.97298,1.54682
0.1085,1.79697,7.91123,8.19406,6.58516,5.03805,1.06151,1.4204,1.91519,1.49686
0.109,1.79543,7.89705,8.1542,6.60069,4.95291,1.022,1.37855,1.85892,1.44837
0.1095,1.79389,7.88233,8.11384,6.61589,4.86857,0.983701,1.33765,1.80393,1.40114
0.11,1.79235,7.86679,8.07281,6.63035,4.78523,0.946744,1.29785,1.75042,1.35532
0.1105,1.7908,7.85045,8.03111,6.64419,4.70276,0.911003,1.25903,1.69822,1.31078
0.111,1.78925,7.8335,7.98888,6.65756,4.62117,0.876426,1.22116,1.6473,1.26746
0.1115,1.7877,7.81603,7.94627,6.67048,4.5406,0.843051,1.1843,1.59775,1.22544
0.112,1.78614,7.79798,7.90321,6.6829,4.46106,0.810835,1.14842,1.54951,1.18467
0.1125,1.78458,7.77911,7.8595,6.69457,4.38246,0.779739,1.11349,1.50254,1.14511
0.113,1.78303,7.75955,7.81521,6.70574,4.30465,0.749658,1.07941,1.45672,1.10663
0.1135,1.78145,7.73984,7.77095,6.71672,4.22812,0.720701,1.04633,1.41224,1.06941
0.114,1.77989,7.71923,7.72594,6.72692,4.15237,0.692708,1.01407,1.36886,1.03322
0.1145,1.77833,7.69786,7.68034,6.73645,4.07751,0.665693,0.982657,1.32662,0.998117
0.115,1.77675,7.67601,7.63441,6.74556,4.00361,0.639627,0.952089,1.28552,0.96407
0.1155,1.77517,7.6536,7.58805,6.75415,3.93063,0.61446,0.922319,1.24549,0.931018
0.116,1.77359,7.63066,7.54142,6.76221,3.85877,0.590242,0.893416,1.20663,0.899043
0.1165,1.77202,7.6073,7.49454,6.76989,3.78789,0.566899,0.865314,1.16884,0.868059
0.117,1.77043,7.58322,7.44713,6.77689,3.71791,0.544383,0.837964,1.13207,0.83801
0.1175,1.76884,7.55851,7.39929,6.78327,3.64886,0.52268,0.811367,1.0963,0.808887
0.118,1.76725,7.53338,7.35123,6.78923,3.58081,0.501778,0.785525,1.06155,0.780685
0.1185,1.76566,7.50776,7.30286,6.79468,3.51371,0.48164,0.760406,1.02778,0.753369
0.119,1.76406,7.48147,7.25405,6.79947,3.4475,0.462233,0.73598,0.994939,0.7269
0.1195,1.76246,7.45455,7.20485,6.80367,3.38217,0.443536,0.712235,0.963008,0.701255
0.12,1.76086,7.4274,7.15558,6.80757,3.31784,0.425538,0.689176,0.932004,0.676438
0.1205,1.75926,7.3997,7.10602,6.81091,3.25449,0.408216,0.666787,0.901891,0.65242
0.121,1.75764,7.37155,7.05621,6.81377,3.19205,0.391538,0.645039,0.87264,0.629167
0.1215,1.75602,7.34299,7.00622,6.81617,3.13054,0.375489,0.623923,0.844238,0.606668
0.122,1.75441,7.31396,6.95599,6.81802,3.06999,0.360056,0.603435,0.816677,0.584911
0.1225,1.7528,7.28437,6.90548,6.81925,3.01035,0.345216,0.583558,0.789934,0.563873
0.123,1.75118,7.2544,6.85479,6.82007,2.95159,0.33093,0.564258,0.763955,0.543507
0.1235,1.74955,7.22399,6.8039,6.82038,2.89373,0.31719,0.545536,0.738739,0.523807
0.124,1.74792,7.19306,6.75279,6.8201,2.83677,0.303987,0.527397,0.714288,0.50477
0.1245,1.7463,7.1618,6.70155,6.8194,2.7807,0.291287,0.509815,0.690552,0.486356
0.125,1.74467,7.13027,6.65029,6.8183,2.72558,0.279091,0.492813,0.667549,0.468572
0.1255,1.74304,7.09839,6.59896,6.81678,2.67138,0.267376,0.476378,0.645252,0.451394
0.126,1.7414,7.06598,6.54736,6.81464,2.61797,0.256109,0.460483,0.623608,0.434778
0.1265,1.73976,7.03318,6.4956,6.81198,2.5654,0.245282,0.445152,0.602616,0.418719
0.127,1.73812,7.00018,6.44391,6.80905,2.51376,0.234886,0.430422,0.582276,0.403215
0.1275,1.73647,6.96664,6.39195,6.80544,2.46289,0.224897,0.416307,0.562545,0.388228
0.128,1.73482,6.93271,6.33985,6.80134,2.41284,0.215299,0.402819,0.543412,0.373745
0.1285,1.73317,6.89865,6.28787,6.79699,2.36368,0.206089,0.390002,0.524881,0.359769
0.129,1.73151,6.86419,6.23579,6.79204,2.31537,0.197257,0.377935,0.506943,0.346289
0.1295,1.72986,6.82934,6.1836,6.78655,2.26787,0.18878,0.36673,0.489563,0.333275
0.13,1.72819,6.79428,6.1314,6.78079,2.22113,0.180633,0.356505,0.472701,0.320696
0.1305,1.72653,6.75877,6.07909,6.77441,2.17517,0.172816,0.347279,0.456369,0.308556
0.131,1.72486,6.72301,6.02681,6.76759,2.13004,0.165323,0.339184,0.440562,0.296851
0.1315,1.72319,6.68708,5.97461,6.76044,2.08573,0.158138,0.332399,0.425261,0.285562
0.132,1.72151,6.65076,5.92232,6.7527,2.04216,0.151246,0.327105,0.410443,0.27467
0.1325,1.71984,6.61413,5.87001,6.74449,1.99936,0.144638,0.323604,0.396094,0.264165
0.133,1.71817,6.57749,5.81794,6.73612,1.95737,0.138304,0.322253,0.382209,0.254038
0.1335,1.71649,6.54063,5.76592,6.72736,1.91612,0.132231,0.323171,0.368764,0.244271
0.134,1.7148,6.50331,5.71375,6.71794,1.87554,0.126405,0.326578,0.355735,0.234846
0.1345,1.71311,6.46572,5.66158,6.70805,1.83567,0.120819,0.333077,0.343115,0.225755
0.135,1.71143,6.42798,5.60954,6.69781,1.79656,0.11547,0.343024,0.330905,0.216998
0.1355,1.70973,6.39004,5.5576,6.68717,1.75817,0.110347,0.356879,0.319091,0.208562
0.136,1.70803,6.35186,5.5057,6.67611,1.72045,0.105434,0.375189,0.30764,0.200424
0.1365,1.70634,6.31364,5.45403,6.66479,1.68349,0.100735,0.397317,0.296572,0.192593
0.137,1.70464,6.27517,5.4024,6.653,1.64719,0.0962327,0.424293,0.285854,0.185048
0.1375,1.70293,6.23646,5.3508,6.64074,1.61154,0.0919189,0.457266,0.275469,0.177774
