E_nu_MeV,E_e_MeV,p_e_MeV,dsigma_dpe_cm2_per_MeV
1.6,0.6215870202354261,0.353907296031448,3.10065172785837e-46
1.6,0.622022768249769,0.354672066394072,3.06146480345354e-46
1.6,0.6222766609688701,0.355117154254341,3.0385232874427e-46
1.6,0.6227134122611621,0.35588192461696505,2.9988756764072902e-46
1.6,0.6231507960202961,0.356646694979589,2.95894422245809e-46
1.6,0.623405639140851,0.35709178283985804,2.93557625006363e-46
1.6,0.623844020738217,0.35785655320248105,2.8952080544538798e-46
1.6,0.624283031369949,0.358621323565105,2.85457192290881e-46
1.6,0.624538819734018,0.359066411425373,2.83080140294793e-46
1.6,0.6249788227834701,0.359831181787998,2.7897549636202503e-46
1.6,0.62541945144701,0.360595952150623,2.74845812788298e-46
1.6,0.625676179914986,0.36104104001089005,2.7243114225768903e-46
1.6,0.626117795595126,0.361805810373514,2.6826333931971604e-46
1.6,0.6265600334813941,0.362570580736138,2.640724265256e-46
1.6,0.626817696932179,0.363015668596407,2.6162303796574503e-46
1.6,0.627260916453504,0.36378043895903,2.57397206001267e-46
1.6,0.627704754785428,0.364545209321655,2.53150383449053e-46
1.6,0.627963348116603,0.36499029718192405,2.50669462165337e-46
1.6,0.628408162721795,0.365755067544548,2.46391231854211e-46
1.6,0.6288535927545971,0.366519837907172,2.42094334464018e-46
1.6,0.629113110882588,0.36696492576744005,2.39585372736038e-46
1.6,0.629559511846795,0.367729696130065,2.35260914536893e-46
1.6,0.630006524868272,0.368494466492689,2.3092033302020802e-46
1.6,0.630266962728512,0.368939554352957,2.2838715412130402e-46
1.6,0.63071494135962,0.369704324715581,2.2402322055088503e-46
1.6,0.631163528690409,0.370469095078205,2.1964594490650402e-46
1.6,0.6314248812374921,0.370914182938474,2.17092729046275e-46
1.6,0.63187442887639,0.371678953301097,2.12696700277563e-46
1.6,0.6323245818702321,0.372443723663722,2.08290366792356e-46
1.6,0.632586844078059,0.37288881152399,2.05721679109104e-46
1.6,0.633037952098894,0.373653581886614,2.01301612177263e-46
1.6,0.633489662142879,0.37441835224923803,1.96874553997505e-46
1.6,0.6337528290048091,0.374863440109507,1.94295374619085e-46
1.6,0.6342054888152261,0.37562821047213,1.89860056196722e-46
1.6,0.634658747330041,0.37639298083475503,1.85421357590725e-46
1.6,0.634922813859023,0.376838068695023,1.82837113895148e-46
1.6,0.635377016900407,0.377602839057647,1.78396116881079e-46
1.6,0.6358318153405631,0.37836760942027103,1.73955671184997e-46
1.6,0.636096776569275,0.378812697280539,1.71372272138347e-46
1.6,0.636552514316974,0.379577467643163,1.6693601571974e-46
1.6,0.6370088441710341,0.38034223800578804,1.6250458679971002e-46
1.6,0.6372746951520101,0.380787325866057,1.599284593707e-46
1.6,0.637731959115556,0.381552096228681,1.55508272590278e-46
1.6,0.638189811906347,0.38231686659130504,1.5109755954222e-46
1.6,0.6384565477121,0.382761954451573,1.48535686812458e-46
1.6,0.6389153294354191,0.38352672481419703,1.44143874821673e-46
1.6,0.639374696720242,0.38429149517682104,1.39766579126602e-46
1.6,0.639642312443384,0.384736583037089,1.37226539764524e-46
1.6,0.640102603504997,0.38550135339971303,1.32876452107258e-46
1.6,0.640563476875826,0.38626612376233804,1.28546346266431e-46
1.6,0.640831967629182,0.386711211622606,1.2603635448104899e-46
1.6,0.641293759642399,0.38747598198523003,1.21742453688088e-46
1.6,0.6417561307260671,0.388240752347854,1.17474449444598e-46
1.6,0.642025491642785,0.388685840208124,1.15003394400388e-46
1.6,0.6424887762558911,0.38945061057074704,1.10781322763992e-46
