 Energy(MeV)      pp            B8           N13           O15    
 0.53000E+01   0.43585E-01   0.40725E-01   0.40757E-01   0.40726E-01 
 0.53200E+01   0.44054E-01   0.41228E-01   0.41259E-01   0.41229E-01 
 0.53400E+01   0.44531E-01   0.41737E-01   0.41769E-01   0.41738E-01 
 0.53600E+01   0.45015E-01   0.42254E-01   0.42285E-01   0.42255E-01 
 0.53800E+01   0.45508E-01   0.42778E-01   0.42808E-01   0.42778E-01 
 0.54000E+01   0.46008E-01   0.43309E-01   0.43339E-01   0.43310E-01 
 0.54200E+01   0.46515E-01   0.43848E-01   0.43878E-01   0.43848E-01 
 0.54400E+01   0.47031E-01   0.44394E-01   0.44424E-01   0.44395E-01 
 0.54600E+01   0.47555E-01   0.44948E-01   0.44977E-01   0.44949E-01 
 0.54800E+01   0.48087E-01   0.45510E-01   0.45539E-01   0.45511E-01 
 0.55000E+01   0.48628E-01   0.46080E-01   0.46108E-01   0.46080E-01 
 0.55200E+01   0.49177E-01   0.46658E-01   0.46686E-01   0.46658E-01 
 0.55400E+01   0.49734E-01   0.47244E-01   0.47271E-01   0.47244E-01 
 0.55600E+01   0.50300E-01   0.47838E-01   0.47865E-01   0.47838E-01 
 0.55800E+01   0.50874E-01   0.48440E-01   0.48468E-01   0.48441E-01 
 0.56000E+01   0.51458E-01   0.49051E-01   0.49078E-01   0.49052E-01 
 0.56200E+01   0.52050E-01   0.49671E-01   0.49698E-01   0.49671E-01 
 0.56400E+01   0.52651E-01   0.50299E-01   0.50326E-01   0.50300E-01 
 0.56600E+01   0.53261E-01   0.50936E-01   0.50962E-01   0.50937E-01 
 0.56800E+01   0.53880E-01   0.51582E-01   0.51608E-01   0.51583E-01 
 0.57000E+01   0.54506E-01   0.52234E-01   0.52259E-01   0.52234E-01 
 0.57200E+01   0.55128E-01   0.52881E-01   0.52906E-01   0.52881E-01 
 0.57400E+01   0.55744E-01   0.53522E-01   0.53547E-01   0.53522E-01 
 0.57600E+01   0.56355E-01   0.54157E-01   0.54181E-01   0.54157E-01 
 0.57800E+01   0.56959E-01   0.54785E-01   0.54810E-01   0.54785E-01 
 0.58000E+01   0.57558E-01   0.55407E-01   0.55431E-01   0.55407E-01 
 0.58200E+01   0.58149E-01   0.56022E-01   0.56046E-01   0.56023E-01 
 0.58400E+01   0.58735E-01   0.56631E-01   0.56654E-01   0.56631E-01 
 0.58600E+01   0.59313E-01   0.57232E-01   0.57255E-01   0.57232E-01 
 0.58800E+01   0.59884E-01   0.57825E-01   0.57848E-01   0.57825E-01 
 0.59000E+01   0.60448E-01   0.58411E-01   0.58434E-01   0.58411E-01 
 0.59200E+01   0.61003E-01   0.58989E-01   0.59011E-01   0.58989E-01 
 0.59400E+01   0.61551E-01   0.59558E-01   0.59581E-01   0.59558E-01 
 0.59600E+01   0.62091E-01   0.60119E-01   0.60142E-01   0.60120E-01 
 0.59800E+01   0.62623E-01   0.60672E-01   0.60694E-01   0.60672E-01 
 0.60000E+01   0.63145E-01   0.61215E-01   0.61237E-01   0.61215E-01 
 0.60200E+01   0.63659E-01   0.61750E-01   0.61771E-01   0.61750E-01 
 0.60400E+01   0.64164E-01   0.62275E-01   0.62296E-01   0.62275E-01 
 0.60600E+01   0.64659E-01   0.62790E-01   0.62811E-01   0.62790E-01 
 0.60800E+01   0.65144E-01   0.63295E-01   0.63316E-01   0.63295E-01 
 0.61000E+01   0.65620E-01   0.63791E-01   0.63811E-01   0.63791E-01 
 0.61200E+01   0.66085E-01   0.64276E-01   0.64296E-01   0.64275E-01 
 0.61400E+01   0.66549E-01   0.64757E-01   0.64778E-01   0.64757E-01 
 0.61600E+01   0.67017E-01   0.65243E-01   0.65264E-01   0.65243E-01 
 0.61800E+01   0.67489E-01   0.65734E-01   0.65754E-01   0.65733E-01 
 0.62000E+01   0.67966E-01   0.66228E-01   0.66248E-01   0.66228E-01 
 0.62200E+01   0.68447E-01   0.66727E-01   0.66747E-01   0.66727E-01 
 0.62400E+01   0.68933E-01   0.67230E-01   0.67250E-01   0.67230E-01 
 0.62600E+01   0.69423E-01   0.67738E-01   0.67758E-01   0.67738E-01 
 0.62800E+01   0.69919E-01   0.68251E-01   0.68270E-01   0.68250E-01 
 0.63000E+01   0.70419E-01   0.68768E-01   0.68787E-01   0.68767E-01 
 0.63200E+01   0.70924E-01   0.69290E-01   0.69308E-01   0.69289E-01 
 0.63400E+01   0.71434E-01   0.69816E-01   0.69835E-01   0.69816E-01 
 0.63600E+01   0.71949E-01   0.70348E-01   0.70366E-01   0.70347E-01 
 0.63800E+01   0.72470E-01   0.70884E-01   0.70902E-01   0.70884E-01 
 0.64000E+01   0.72995E-01   0.71426E-01   0.71444E-01   0.71425E-01 
 0.64200E+01   0.73526E-01   0.71972E-01   0.71990E-01   0.71972E-01 
 0.64400E+01   0.74062E-01   0.72524E-01   0.72542E-01   0.72523E-01 
 0.64600E+01   0.74603E-01   0.73081E-01   0.73098E-01   0.73080E-01 
 0.64800E+01   0.75150E-01   0.73643E-01   0.73661E-01   0.73643E-01 
 0.65000E+01   0.75702E-01   0.74211E-01   0.74228E-01   0.74210E-01 
 0.65200E+01   0.76260E-01   0.74784E-01   0.74801E-01   0.74783E-01 
 0.65400E+01   0.76823E-01   0.75362E-01   0.75379E-01   0.75362E-01 
 0.65600E+01   0.77393E-01   0.75947E-01   0.75964E-01   0.75946E-01 
 0.65800E+01   0.77968E-01   0.76537E-01   0.76553E-01   0.76536E-01 
 0.66000E+01   0.78548E-01   0.77131E-01   0.77147E-01   0.77130E-01 
