radius,electron_density_mol_cm3
0.064,83.17637711026708
0.0645,82.7942163712334
0.065,82.60379495771788
0.0655,82.41381150130022
0.066,82.22426499470713
0.0665,82.03515443298181
0.067,81.65823713585922
0.0675,81.47042840208397
0.068,81.2830516164099
0.0685,81.09610578538408
0.069,80.72350302488383
0.0695,80.53784411990665
0.07,80.35261221856173
0.0705,80.16780633876789
0.071,79.79946872679764
0.0715,79.61593504173187
0.072,79.43282347242814
0.0725,79.25013304804718
0.073,78.88601176185544
0.0735,78.70457896950985
0.074,78.52356346100719
0.0745,78.34296427662116
0.075,77.98301105232585
0.0755,77.8036551039804
0.076,77.62471166286916
0.0765,77.26805850957021
0.077,77.090346906443
0.0775,76.91304402866095
0.078,76.55966069112561
0.0785,76.38357835776907
0.079,76.20790100254119
0.0795,75.85775750291836
0.08,75.68328950209744
0.0805,75.50922276654337
0.081,75.16228940182053
0.0815,74.98942093324558
0.082,74.81695005111546
0.0825,74.47319739059893
0.083,74.30191378967014
0.0835,74.13102413009177
0.084,73.79042301291011
0.0845,73.6207097494736
0.085,73.2824533138904
0.0855,73.11390834834177
0.086,72.94575102545687
0.0865,72.61059574351547
0.087,72.44359600749902
0.0875,72.27698036021702
0.088,71.94489780036994
0.0885,71.77942912713618
0.089,71.44963260755135
0.0895,71.28530301265195
0.09,70.95777679633888
0.0905,70.79457843841381
0.091,70.6317554262962
0.0915,70.30723198838334
0.092,70.14552984199715
0.0925,69.82324040771715
0.093,69.66265141107687
0.0935,69.3425806016569
0.094,69.18309709189366
0.0945,69.02398038402418
0.095,68.7068440014232
0.0955,68.54882264526617
0.096,68.23386941416697
0.0965,68.07693586937414
0.097,67.7641507610675
0.0975,67.60829753919819
0.098,67.29766562843179
0.0985,67.14288529259522
0.099,66.83439175686145
0.0995,66.68067692136222
0.1,66.3743070401909
0.1005,66.22165037017619
0.101,65.91738952443212
0.1015,65.76578373554206
0.102,65.46361740672751
0.1025,65.31305526474723
0.103,65.01296903430907
0.1035,64.86344335482384
0.104,64.56542290346556
0.1045,64.41692655151772
0.105,64.12095765851615
0.1055,63.973483548264824
0.106,63.67955209079159
0.1065,63.53309318517436
0.107,63.24118513762193
0.1075,63.09573444801933
0.108,62.8058358813318
0.1085,62.66138646723353
0.109,62.373483548241914
0.1095,62.23002851691595
0.11,61.94410750767815
0.1105,61.65950018614822
0.111,61.517687270986805
0.1115,61.235039172477336
0.112,61.09420249055721
0.1125,60.81350012787179
0.113,60.673632958850526
0.1135,60.39486293763797
0.114,60.11737374832779
0.1145,59.979107625550945
0.115,59.70352865838369
0.1155,59.566214352901035
0.116,59.29253245799997
0.1165,59.1561634175474
0.117,58.8843655355589
0.1175,58.613816451402876
0.118,58.47900841444806
0.1185,58.21032177708713
0.119,58.07644175213121
0.1195,57.80960474057181
0.12,57.543993733715695
0.1205,57.41164622073274
0.121,57.14786366718669
0.1215,57.016427228074754
0.122,56.754460540854716
0.1225,56.49369748123026
0.123,56.36376558259543
0.1235,56.104797603247064
0.124,55.84701947368309
0.1245,55.71857489319299
0.125,55.46257129579107
0.1255,55.207743928075736
0.126,55.08076964054035
0.1265,54.82769649208539
0.127,54.70159628939716
0.1275,54.450265284242114
0.128,54.20008904016238
0.1285,54.0754322945581
0.129,53.826978251628844
0.1295,53.57966575133417
0.13,53.456435939697165
