radius_km,radius_fraction,mass_density_g_cm3,electron_fraction,electron_density_mol_cm3,neutron_density_mol_cm3,depth_km
586.132,0.092,12.985303605995718,0.467,6.0641367840000004,6.921166821995716,5784.868
592.503,0.093,12.98367188222698,0.467,6.063374769,6.9202971132269795,5778.497
598.874,0.094,12.982022518201285,0.467,6.062604516,6.919418002201284,5772.126
605.245,0.095,12.98035551391863,0.467,6.061826025,6.918529488918629,5765.755
611.616,0.096,12.978670869379016,0.467,6.061039296000001,6.917631573379015,5759.384
617.987,0.097,12.976968584582442,0.467,6.0602443290000005,6.916724255582441,5753.013
624.3580000000001,0.098,12.975248659528907,0.467,6.059441124,6.915807535528907,5746.642
630.729,0.099,12.973511094218415,0.467,6.058629681,6.9148814132184135,5740.271
637.1,0.1,12.971755888650963,0.467,6.05781,6.913945888650962,5733.900000000001
643.471,0.101,12.969983042826552,0.467,6.056982081,6.913000961826551,5727.529
649.8420000000001,0.10200000000000001,12.968192556745182,0.467,6.056145924,6.912046632745181,5721.158
656.2130000000001,0.10300000000000001,12.966384430406853,0.467,6.055301529,6.911082901406852,5714.787
662.5840000000001,0.10400000000000001,12.964558663811562,0.467,6.054448896,6.910109767811561,5708.416
668.9549999999999,0.105,12.962715256959314,0.467,6.053588025,6.909127231959313,5702.045
675.326,0.106,12.960854209850106,0.467,6.052718916,6.908135293850106,5695.674
681.697,0.107,12.958975522483941,0.467,6.0518415690000005,6.90713395348394,5689.303
688.068,0.108,12.957079194860812,0.467,6.050955984,6.9061232108608115,5682.932
694.439,0.109,12.955165226980728,0.467,6.0500621610000005,6.905103065980727,5676.561
700.8100000000001,0.11,12.953233618843683,0.467,6.0491601,6.904073518843682,5670.1900000000005
707.181,0.111,12.951284370449677,0.467,6.048249801,6.903034569449677,5663.819
713.552,0.112,12.949317481798715,0.467,6.047331264,6.901986217798714,5657.448
719.923,0.113,12.947332952890793,0.467,6.046404489,6.900928463890792,5651.077
726.294,0.114,12.94533078372591,0.467,6.045469476,6.899861307725908,5644.706
732.6650000000001,0.115,12.943310974304069,0.467,6.044526225,6.898784749304068,5638.335
739.0360000000001,0.116,12.941273524625267,0.467,6.043574736,6.897698788625266,5631.964
745.407,0.117,12.939218434689508,0.467,6.042615009,6.896603425689507,5625.593
751.778,0.11800000000000001,12.937145704496787,0.467,6.041647044,6.895498660496787,5619.222
758.149,0.11900000000000001,12.935055334047108,0.467,6.040670841,6.894384493047108,5612.851
764.52,0.12,12.93294732334047,0.467,6.0396864,6.89326092334047,5606.4800000000005
770.891,0.121,12.930821672376874,0.467,6.0386937210000005,6.892127951376873,5600.109
777.262,0.122,12.928678381156317,0.467,6.037692804000001,6.890985577156316,5593.738
783.633,0.123,12.926517449678801,0.467,6.036683649,6.8898338006788,5587.367
790.004,0.124,12.924338877944324,0.467,6.035666256,6.888672621944323,5580.996
796.375,0.125,12.92214266595289,0.467,6.034640625,6.8875020409528895,5574.625
802.746,0.126,12.919928813704496,0.467,6.033606756,6.886322057704495,5568.254
809.117,0.127,12.917697321199142,0.467,6.032564649,6.885132672199142,5561.883
815.488,0.128,12.91544818843683,0.467,6.031514304,6.883933884436829,5555.512
821.859,0.129,12.913181415417558,0.467,6.030455721,6.882725694417557,5549.141
828.23,0.13,12.910897002141327,0.467,6.0293889,6.881508102141327,5542.7699999999995
834.601,0.131,12.908594948608137,0.467,6.028313841,6.880281107608136,5536.399
840.9720000000001,0.132,12.906275254817986,0.467,6.027230544,6.879044710817985,5530.028
847.3430000000001,0.133,12.903937920770877,0.467,6.026139009,6.877798911770877,5523.657
853.714,0.134,12.90158294646681,0.467,6.0250392360000005,6.876543710466809,5517.286
860.085,0.135,12.899210331905781,0.467,6.023931225,6.87527910690578,5510.915
866.456,0.136,12.896820077087794,0.467,6.022814976,6.874005101087793,5504.544
872.8270000000001,0.137,12.894412182012847,0.467,6.021690489,6.8727216930128465,5498.173
