radius,electron_density_mol_cm3,neutron_density_mol_cm3
0.541392,0.7657305953360732,0.1266466439491347
0.543274,0.7516575083286496,0.1242936485846715
0.545159,0.7378481623790389,0.1219883241476134
0.547046,0.7242975230423506,0.1197235205201912
0.548936,0.7110006536607728,0.1175075783944656
0.550828,0.6979527134325512,0.1153304958676253
0.552723,0.6851505331352937,0.1131918925204527
0.55462,0.6725893712604293,0.1110996471483696
0.556519,0.6602630595338951,0.1090412463443728
0.558421,0.6481671252042073,0.1070271939651936
0.560325,0.6363001124692964,0.1050488606137429
0.562231,0.6246546827062992,0.1031104434231922
0.56414,0.6132280331428979,0.1012035425261443
0.566051,0.6020173393205519,0.0993355901493668
0.567964,0.5910170366102439,0.0975055071214761
0.569879,0.5802230798783483,0.0957075675514484
0.571797,0.56963150353677,0.0939460497351032
0.573716,0.5592409953394384,0.0922182246810046
0.575638,0.5490463389405481,0.0905208970526925
0.577562,0.5390424902742966,0.0888579027338063
0.579489,0.5292282273265271,0.087228899085574
0.581417,0.5195986332067328,0.0856263524177438
0.583347,0.5101513027174233,0.084056561404719
0.585279,0.5008815099537339,0.0825186139394361
0.587213,0.4917880821913504,0.0810101099165981
0.58915,0.4828664152292777,0.0795282392716221
0.591088,0.4741131488257551,0.0780765558332404
0.593028,0.4655260625038717,0.0766526050761423
0.594969,0.4571029246346965,0.0752579408151209
0.596913,0.4488394277594398,0.0738879451851834
0.598858,0.4407334367387536,0.0725442239563083
0.600805,0.4327808145765087,0.0712297443342597
0.602753,0.4249804969268889,0.0699369394831955
0.604703,0.4173284573755845,0.0686723899468148
0.606655,0.4098217467065982,0.0674284827119591
0.608608,0.4024584034324024,0.0662118798915066
0.610563,0.3952364592624606,0.0650170543195838
0.612519,0.3881512597409238,0.0638449652783428
0.614476,0.3812027280721712,0.0626955932054138
0.616434,0.3743863447203869,0.0615697702756911
0.618394,0.3677011600377969,0.0604625866006022
0.620355,0.361143664094929,0.0593782054716126
0.622317,0.3547112804263134,0.0583146144990428
0.624279,0.3484030915028415,0.0572716565138147
0.626243,0.3422157551537391,0.0562444365315438
0.628208,0.3361475884978624,0.0552400066255579
0.630174,0.3301969063541373,0.0542509501059839
0.63214,0.324361275839935,0.053283936878548
0.634107,0.3186390510384436,0.0523304586644507
0.636075,0.3130271448512848,0.0513969001877324
0.638043,0.3075254056221354,0.0504779530084531
0.640011,0.3021307995549304,0.0495771432253697
0.641981,0.2968417614398851,0.0486891782386555
0.64395,0.2916567284835862,0.0478189803207121
0.645919,0.2865741414662418,0.0469614265289212
0.647889,0.2815917974539439,0.0461187685174361
0.649859,0.2767088185019282,0.0452886206951479
0.651828,0.2719236618343068,0.0444743945435475
0.653798,0.2672347923540329,0.0436713458562159
0.655767,0.2626406835380156,0.0428817041582945
0.657736,0.2581404126735706,0.0421032674140434
0.659704,0.2537324424261045,0.0413360217403672
0.661672,0.2494163962891834,0.0405811865912461
0.663639,0.2451907036603884,0.0398365927399407
0.665606,0.2410526998210635,0.0391041047531308
0.667571,0.23700199403696,0.0383817964204585
0.669535,0.2330354542204396,0.0376703821774028
0.671498,0.2291516559532458,0.0369698074014663
0.67346,0.2253471137547411,0.0362796768613128
0.67542,0.2216210458393652,0.0356009627484478
0.677379,0.2179711422163099,0.034933399025422
0.679336,0.2143966524108513,0.0342787814300229
0.681291,0.2108958335892818,0.0336341550034734
0.683245,0.2074679425079297,0.0329995330397317
0.685195,0.2041122170473315,0.0323766486439765
0.687144,0.2008283406942522,0.0317646327221869
0.68909,0.1976150424543735,0.0311633527007591
0.691034,0.1944724116886423,0.0305728850549134
0.692974,0.191400029333615,0.0299924068746867
0.694636,0.1888204376889746,0.0295032235763863
0.695119,0.1880784339740424,0.0293609349826317
0.695602,0.187341502931895,0.0292212344070784
0.696085,0.186608318702359,0.0290815175999669
0.696568,0.185879715887895,0.0289419221696753
0.69705,0.1851552368691988,0.0288039568279174
0.697532,0.1844352802613533,0.0286668894707535
0.698014,0.1837193922130523,0.0285298674293585
0.698496,0.1830079684518635,0.0283921819485228
