radius,temperature_MK,density_log_10,shell_mass_solar,be7_mass_fraction,pp fraction,8B fraction,13N fraction,15O fraction,17F fraction,7Be fraction,pep fraction,hep fraction
0.04278,15.11,1.971,0.0002112,1.283e-11,0.001317,0.00745,0.005961,0.006782,0.007076,0.004513,0.001912,0.0006468
0.04319,15.099,1.97,0.0002148,1.275e-11,0.001339,0.007461,0.005976,0.006798,0.007091,0.004556,0.001941,0.0006596
0.04359,15.088,1.97,0.0002185,1.267e-11,0.001361,0.007469,0.005988,0.006812,0.007104,0.004597,0.001971,0.0006726
0.04399,15.078,1.969,0.0002222,1.258e-11,0.001383,0.007474,0.005998,0.006823,0.007113,0.004638,0.002,0.0006856
0.0444,15.067,1.968,0.0002259,1.25e-11,0.001405,0.007476,0.006005,0.006831,0.007119,0.004677,0.002028,0.0006987
0.0448,15.056,1.968,0.0002295,1.242e-11,0.001427,0.007475,0.00601,0.006837,0.007123,0.004715,0.002057,0.0007118
0.04521,15.045,1.967,0.0002332,1.233e-11,0.001449,0.00747,0.006013,0.006841,0.007124,0.004752,0.002086,0.000725
0.04561,15.033,1.966,0.0002369,1.225e-11,0.001471,0.007463,0.006014,0.006842,0.007122,0.004787,0.002114,0.0007382
0.04601,15.022,1.965,0.0002405,1.217e-11,0.001493,0.007452,0.006013,0.00684,0.007117,0.004821,0.002142,0.0007515
0.04642,15.011,1.964,0.0002442,1.208e-11,0.001515,0.007439,0.006009,0.006836,0.00711,0.004854,0.00217,0.0007648
0.04682,15.0,1.964,0.0002479,1.2e-11,0.001537,0.007423,0.006004,0.00683,0.0071,0.004885,0.002197,0.0007781
0.04723,14.988,1.963,0.0002516,1.191e-11,0.001558,0.007404,0.005996,0.006821,0.007088,0.004916,0.002225,0.0007915
0.04763,14.977,1.962,0.0002552,1.183e-11,0.00158,0.007382,0.005987,0.006811,0.007073,0.004944,0.002252,0.000805
0.04804,14.965,1.961,0.0002589,1.174e-11,0.001601,0.007358,0.005975,0.006798,0.007056,0.004972,0.002279,0.0008184
0.04844,14.953,1.961,0.0002625,1.166e-11,0.001623,0.007331,0.005962,0.006782,0.007037,0.004998,0.002305,0.0008319
0.04884,14.942,1.96,0.0002662,1.157e-11,0.001644,0.007302,0.005947,0.006765,0.007015,0.005023,0.002332,0.0008455
0.04925,14.93,1.959,0.0002698,1.149e-11,0.001665,0.00727,0.00593,0.006746,0.006991,0.005046,0.002358,0.000859
0.04965,14.918,1.958,0.0002735,1.14e-11,0.001686,0.007236,0.005911,0.006724,0.006965,0.005069,0.002384,0.0008726
0.05006,14.906,1.957,0.0002771,1.132e-11,0.001707,0.007199,0.005891,0.006701,0.006936,0.00509,0.002409,0.0008862
0.05046,14.894,1.957,0.0002808,1.123e-11,0.001728,0.007161,0.005869,0.006676,0.006906,0.005109,0.002434,0.0008998
